fin_const,female_ownership,established_year,manager_experience,employees,sector
No obstacle,100,2021,3,5,Other services
No obstacle,0,2016,15,5,Other services
Minor obstacle,0,2012,1,6,Other services
No obstacle,0,2001,33,6,Other services
No obstacle,100,2019,7,24,Other services
No obstacle,0,2016,8,6,Other services
No obstacle,100,1998,21,13,Other services
Minor obstacle,100,2009,4,9,Other services
Minor obstacle,0,2014,10,55,Other services
No obstacle,30,2016,8,6,Other services
Minor obstacle,0,2010,30,5,Other services
Moderate obstacle,0,2007,17,5,Manufacturing
No obstacle,100,2018,5,5,Manufacturing
Minor obstacle,100,2021,3,5,Other services
Minor obstacle,100,2015,9,6,Retail services
No obstacle,0,1999,24,9,Other services
No obstacle,0,2020,7,5,Other services
Minor obstacle,0,2014,10,6,Other services
No obstacle,0,2007,17,8,Other services
No obstacle,0,2018,10,25,Other services
No obstacle,0,2006,18,12,Retail services
No obstacle,0,2014,10,25,Other services
Minor obstacle,100,2014,10,8,Other services
No obstacle,0,2000,24,13,Other services
No obstacle,0,2017,6,5,Retail services
Moderate obstacle,0,2020,10,5,Retail services
No obstacle,100,2020,4,5,Retail services
Minor obstacle,0,2016,8,15,Other services
No obstacle,30,2010,17,7,Other services
Moderate obstacle,0,2004,20,6,Other services
Minor obstacle,100,2006,15,8,Retail services
Minor obstacle,0,2019,20,13,Other services
No obstacle,0,2014,10,5,Other services
No obstacle,0,2019,4,6,Other services
No obstacle,100,2016,8,29,Other services
No obstacle,0,2004,40,14,Other services
No obstacle,0,1989,35,198,Other services
Major obstacle,1,2012,12,7,Other services
Minor obstacle,100,2020,3,30,Other services
No obstacle,0,1990,35,30,Other services
No obstacle,30,2007,27,5,Other services
Major obstacle,0,2005,19,8,Other services
No obstacle,0,2012,12,7,Other services
No obstacle,100,2019,6,6,Other services
No obstacle,100,2014,21,12,Retail services
Minor obstacle,100,2020,4,5,Retail services
No obstacle,0,2013,11,14,Retail services
No obstacle,0,2003,20,5,Retail services
Minor obstacle,0,2021,3,11,Other services
No obstacle,100,2000,36,11,Other services
Moderate obstacle,100,2019,6,15,Retail services
No obstacle,100,2016,8,5,Retail services
Moderate obstacle,0,2017,6,8,Retail services
No obstacle,100,1999,25,6,Retail services
No obstacle,0,2021,3,12,Retail services
Minor obstacle,100,2014,10,5,Retail services
Major obstacle,100,2015,9,5,Retail services
No obstacle,0,1949,40,16,Other services
Moderate obstacle,0,2003,20,7,Other services
No obstacle,0,1986,38,8,Other services
No obstacle,100,2006,24,11,Retail services
Minor obstacle,50,2019,,13,Retail services
No obstacle,0,2007,1,5,Retail services
No obstacle,100,2003,21,12,Retail services
Minor obstacle,100,2016,30,11,Retail services
Major obstacle,100,1980,22,6,Retail services
No obstacle,0,2023,1,6,Retail services
Minor obstacle,0,2019,6,6,Retail services
Moderate obstacle,100,2021,7,5,Retail services
Minor obstacle,10,2014,10,20,Manufacturing
Minor obstacle,2,1998,40,25,Manufacturing
No obstacle,0,2016,8,37,Manufacturing
Moderate obstacle,0,2020,10,30,Manufacturing
No obstacle,0,2014,1,18,Manufacturing
Major obstacle,0,1996,35,180,Manufacturing
No obstacle,100,2010,14,20,Manufacturing
No obstacle,100,2012,12,29,Manufacturing
Minor obstacle,0,1994,12,54,Manufacturing
No obstacle,100,2001,23,12,Manufacturing
No obstacle,0,1991,33,30,Other services
No obstacle,0,2007,17,40,Manufacturing
No obstacle,0,2018,6,15,Manufacturing
No obstacle,100,2002,22,30,Manufacturing
No obstacle,60,1949,25,68,Manufacturing
No obstacle,0,1986,38,24,Manufacturing
No obstacle,100,1890,20,14,Manufacturing
No obstacle,0,2016,10,24,Manufacturing
No obstacle,0,2020,4,26,Other services
No obstacle,0,2005,16,16,Other services
Minor obstacle,37,2002,22,50,Other services
Minor obstacle,0,2018,5,40,Other services
Minor obstacle,100,2004,2,30,Other services
No obstacle,0,1967,3,32,Other services
Major obstacle,40,2018,6,48,Other services
Major obstacle,0,1999,17,54,Other services
No obstacle,0,2007,17,18,Other services
No obstacle,0,2018,10,17,Other services
Moderate obstacle,100,2018,6,25,Other services
No obstacle,0,2018,6,60,Other services
Minor obstacle,40,2003,34,66,Other services
Minor obstacle,0,2001,33,200,Manufacturing
Moderate obstacle,100,2006,14,9,Manufacturing
No obstacle,50,1973,50,56,Manufacturing
No obstacle,0,2002,29,80,Other services
No obstacle,100,2009,15,40,Other services
Moderate obstacle,0,2018,5,20,Other services
Minor obstacle,0,1994,30,50,Other services
No obstacle,0,1995,27,43,Other services
Minor obstacle,5,2017,50,100,Other services
Moderate obstacle,0,1991,40,10,Manufacturing
No obstacle,0,2008,5,22,Other services
Major obstacle,50,2019,18,121,Other services
Minor obstacle,42,2018,20,22,Retail services
Minor obstacle,0,2014,20,89,Retail services
No obstacle,20,1995,40,134,Manufacturing
Moderate obstacle,0,1985,38,40,Manufacturing
Minor obstacle,30,2004,20,82,Manufacturing
No obstacle,30,2008,16,100,Manufacturing
Moderate obstacle,20,2015,30,24,Manufacturing
No obstacle,20,1988,40,235,Manufacturing
No obstacle,50,2003,21,60,Manufacturing
Minor obstacle,75,1993,25,100,Manufacturing
No obstacle,100,2013,11,146,Manufacturing
Moderate obstacle,1,1999,17,39,Manufacturing
Major obstacle,0,2017,7,100,Other services
No obstacle,0,2007,10,25,Manufacturing
No obstacle,0,1998,26,25,Other services
No obstacle,0,2009,15,49,Other services
No obstacle,100,2017,2,30,Retail services
No obstacle,10,1967,30,88,Other services
Minor obstacle,100,2000,5,61,Retail services
No obstacle,40,2019,12,220,Retail services
No obstacle,0,1996,18,8,Manufacturing
Minor obstacle,0,2018,8,12,Manufacturing
Moderate obstacle,50,2016,20,30,Manufacturing
Moderate obstacle,30,2014,10,6,Manufacturing
No obstacle,50,2019,7,6,Manufacturing
Moderate obstacle,0,1998,26,5,Manufacturing
Moderate obstacle,100,1970,35,5,Manufacturing
No obstacle,100,1995,30,5,Manufacturing
No obstacle,100,2004,10,5,Manufacturing
No obstacle,0,2019,6,10,Other services
No obstacle,50,2017,18,12,Manufacturing
Major obstacle,100,2015,10,8,Manufacturing
Moderate obstacle,100,2010,15,9,Manufacturing
Moderate obstacle,100,2015,11,5,Manufacturing
Minor obstacle,100,1901,40,6,Manufacturing
Minor obstacle,0,2015,15,7,Manufacturing
No obstacle,0,2004,20,6,Manufacturing
Minor obstacle,0,2000,20,8,Manufacturing
No obstacle,100,2020,4,6,Retail services
Moderate obstacle,0,2004,20,7,Manufacturing
Minor obstacle,30,2015,8,12,Manufacturing
Major obstacle,0,1962,40,9,Manufacturing
No obstacle,70,2013,32,7,Manufacturing
Minor obstacle,100,2005,21,6,Manufacturing
Moderate obstacle,100,1997,1,6,Other services
Minor obstacle,100,2019,5,6,Other services
Minor obstacle,100,2018,,9,Other services
No obstacle,100,2012,,7,Other services
Minor obstacle,0,2002,30,7,Other services
No obstacle,0,2021,14,9,Other services
Moderate obstacle,0,2012,14,11,Other services
No obstacle,100,2021,10,7,Other services
Minor obstacle,100,2003,20,8,Other services
No obstacle,100,2012,12,10,Other services
No obstacle,0,2011,10,8,Manufacturing
Moderate obstacle,100,2006,18,6,Manufacturing
No obstacle,0,2016,8,5,Manufacturing
Minor obstacle,0,2007,17,5,Manufacturing
Moderate obstacle,100,2013,11,6,Other services
No obstacle,0,2019,3,7,Other services
No obstacle,45,2015,10,6,Other services
Major obstacle,0,1999,25,8,Other services
Minor obstacle,0,2009,13,9,Retail services
Major obstacle,100,2021,7,7,Other services
No obstacle,5,2016,47,12,Other services
No obstacle,30,2011,13,32,Other services
No obstacle,40,2001,5,30,Other services
Moderate obstacle,90,2017,7,17,Other services
No obstacle,0,2000,,5,Other services
Minor obstacle,0,2014,10,15,Other services
Minor obstacle,0,2017,7,5,Other services
No obstacle,0,2010,25,15,Retail services
Moderate obstacle,0,2019,6,9,Other services
Minor obstacle,100,1996,15,10,Other services
Minor obstacle,25,2018,3,9,Other services
No obstacle,0,2018,6,6,Other services
No obstacle,100,2007,19,10,Other services
No obstacle,100,1999,25,9,Other services
No obstacle,100,2007,17,5,Other services
Minor obstacle,2,2015,8,20,Other services
Moderate obstacle,0,2012,12,5,Other services
Minor obstacle,100,2000,24,6,Other services
No obstacle,0,2016,12,35,Other services
No obstacle,0,2014,20,14,Other services
Minor obstacle,0,2007,,44,Retail services
No obstacle,0,2016,5,7,Retail services
No obstacle,0,1947,60,12,Retail services
No obstacle,40,2011,11,5,Retail services
Major obstacle,100,2019,5,5,Retail services
Major obstacle,100,2010,1,8,Other services
No obstacle,0,2016,7,8,Retail services
No obstacle,80,2016,8,9,Retail services
Minor obstacle,100,2017,7,10,Retail services
No obstacle,0,2020,10,9,Retail services
No obstacle,0,2014,,9,Retail services
Minor obstacle,100,2006,18,13,Other services
No obstacle,0,2011,19,11,Retail services
No obstacle,0,2014,,5,Retail services
Minor obstacle,0,2017,,26,Retail services
No obstacle,20,2007,1,5,Retail services
No obstacle,100,2020,6,8,Retail services
Minor obstacle,0,2009,12,7,Retail services
Major obstacle,0,2015,,5,Retail services
Minor obstacle,100,2007,20,10,Retail services
No obstacle,0,2012,15,13,Retail services
No obstacle,0,2019,5,5,Retail services
No obstacle,30,2012,12,10,Retail services
Moderate obstacle,100,1980,35,25,Retail services
No obstacle,100,2001,30,49,Manufacturing
Major obstacle,100,1993,40,60,Manufacturing
Moderate obstacle,100,1997,27,70,Manufacturing
Minor obstacle,0,2010,14,38,Other services
No obstacle,0,2009,20,70,Manufacturing
No obstacle,12,1997,27,28,Manufacturing
No obstacle,20,2013,15,140,Manufacturing
Moderate obstacle,20,1989,34,40,Manufacturing
No obstacle,25,2012,9,30,Manufacturing
No obstacle,0,2013,15,9,Manufacturing
Moderate obstacle,25,2013,,63,Manufacturing
Minor obstacle,10,1988,10,34,Manufacturing
No obstacle,30,1998,10,7,Manufacturing
No obstacle,100,2010,14,60,Manufacturing
No obstacle,3,1989,2,34,Manufacturing
Minor obstacle,100,2018,6,32,Manufacturing
Moderate obstacle,40,1972,15,56,Manufacturing
Minor obstacle,0,2015,10,35,Other services
Minor obstacle,60,2012,12,56,Other services
No obstacle,100,2018,5,44,Other services
No obstacle,30,1985,35,60,Other services
No obstacle,0,2018,6,65,Other services
Minor obstacle,100,2018,14,25,Other services
No obstacle,100,2017,7,50,Other services
Minor obstacle,0,2016,3,54,Other services
No obstacle,100,2014,37,18,Other services
Minor obstacle,0,2018,8,23,Other services
No obstacle,100,1994,30,60,Other services
Minor obstacle,0,2019,5,26,Other services
Minor obstacle,0,2018,10,41,Other services
Minor obstacle,30,1999,30,35,Other services
No obstacle,100,2015,35,32,Other services
No obstacle,0,2014,10,35,Other services
No obstacle,80,1957,48,30,Manufacturing
No obstacle,0,2014,,73,Manufacturing
No obstacle,0,1999,30,40,Other services
Minor obstacle,0,2016,20,20,Retail services
Minor obstacle,2,2017,10,40,Other services
Minor obstacle,0,2009,15,15,Manufacturing
Moderate obstacle,40,2004,15,18,Other services
Moderate obstacle,0,2013,14,51,Other services
No obstacle,0,2010,14,20,Other services
Moderate obstacle,100,2015,20,75,Other services
Minor obstacle,0,2009,10,50,Other services
No obstacle,100,1996,,30,Other services
No obstacle,0,1990,10,250,Other services
No obstacle,0,2014,24,22,Other services
Moderate obstacle,0,2006,18,24,Other services
No obstacle,50,2019,10,19,Retail services
Minor obstacle,10,2019,10,65,Retail services
No obstacle,0,2008,16,50,Other services
No obstacle,10,1970,20,250,Manufacturing
No obstacle,0,1993,31,60,Manufacturing
Minor obstacle,0,1962,15,140,Manufacturing
No obstacle,0,2013,20,185,Manufacturing
Minor obstacle,40,1989,10,132,Manufacturing
Minor obstacle,50,2017,7,30,Manufacturing
No obstacle,0,1999,25,95,Manufacturing
No obstacle,20,2000,40,232,Manufacturing
No obstacle,0,2000,,163,Manufacturing
No obstacle,50,1972,25,150,Manufacturing
Minor obstacle,50,1995,40,78,Manufacturing
No obstacle,0,1988,15,180,Other services
No obstacle,0,2011,13,155,Other services
Minor obstacle,0,1997,25,130,Manufacturing
Moderate obstacle,20,2018,20,171,Manufacturing
No obstacle,30,1964,20,97,Other services
No obstacle,60,2005,20,100,Other services
Moderate obstacle,0,2001,21,50,Other services
No obstacle,20,2002,22,7,Manufacturing
No obstacle,10,2006,10,18,Manufacturing
No obstacle,0,2005,19,5,Manufacturing
Minor obstacle,0,2019,4,10,Other services
Minor obstacle,0,2006,18,16,Manufacturing
No obstacle,0,1980,5,5,Other services
Minor obstacle,0,2000,23,17,Manufacturing
No obstacle,100,2010,14,20,Manufacturing
Major obstacle,0,2004,35,6,Manufacturing
No obstacle,0,2017,21,12,Manufacturing
NA,25,2020,10,120,Manufacturing
Minor obstacle,100,2018,6,5,Manufacturing
Minor obstacle,100,2005,25,18,Manufacturing
Minor obstacle,100,2018,14,6,Manufacturing
Minor obstacle,100,1997,32,14,Manufacturing
Major obstacle,0,2008,14,12,Manufacturing
Minor obstacle,0,1995,15,14,Manufacturing
Minor obstacle,60,1987,37,11,Manufacturing
No obstacle,100,2018,9,8,Manufacturing
No obstacle,0,2010,10,3,Manufacturing
Minor obstacle,50,2016,7,12,Manufacturing
No obstacle,0,2008,6,7,Other services
Major obstacle,50,2019,7,5,Other services
No obstacle,0,2010,16,8,Other services
No obstacle,0,2011,3,7,Other services
No obstacle,0,2018,9,11,Other services
No obstacle,0,2017,9,5,Other services
No obstacle,50,2018,25,30,Other services
Minor obstacle,0,2019,10,5,Other services
No obstacle,0,2012,1,10,Other services
No obstacle,0,2008,30,50,Other services
Minor obstacle,0,2018,7,20,Other services
No obstacle,60,2019,10,8,Other services
Minor obstacle,0,2018,5,19,Manufacturing
No obstacle,0,2017,6,6,Manufacturing
Minor obstacle,0,2010,14,6,Other services
No obstacle,0,2018,3,22,Other services
Minor obstacle,100,1987,20,8,Other services
Moderate obstacle,40,2016,34,14,Other services
Moderate obstacle,100,2008,18,5,Other services
No obstacle,0,2005,10,18,Retail services
No obstacle,10,2016,5,25,Other services
No obstacle,100,2019,5,8,Other services
Major obstacle,0,1983,2,16,Other services
No obstacle,100,2010,24,16,Other services
No obstacle,0,2015,15,50,Retail services
Minor obstacle,50,2017,10,13,Other services
Moderate obstacle,60,1989,33,10,Retail services
